model,sweep_param,sweep_value,skew_RMSE
mongrel_cholesky_MAP,Q,500,0.25949199718703
conjugate_linear_model,Q,500,0.0949778029843168
stan_uncollapsed,Q,500,0.261084860809046
stan_collapsed_variationalbayes_meanfield,Q,500,0.0936286657311724
mongrel_cholesky,Q,500,0.0936465338020807
mongrel_cholesky_MAP,Q,500,0.0936465338020807
conjugate_linear_model,Q,500,0.0950165792423926
stan_uncollapsed,Q,500,0.247487984893681
stan_collapsed_variationalbayes_meanfield,Q,500,0.094659810938127
mongrel_cholesky,Q,500,0.0950199872565785
mongrel_cholesky_MAP,Q,500,0.0950199872565785
conjugate_linear_model,Q,500,0.095446851013596
